Date,Precip_in,Tmax_degC,Tmin_degC,Flow_in
2001-06-11,0,26.1,7.2,0.046289784
2001-06-12,0.551181102,17.8,11.1,0.062906629
2001-06-13,0,24.4,10,0.048663619
2001-06-14,0,28.9,12.8,0.040355196
2001-06-15,0,30.6,14.4,0.034420608
2001-06-16,0,31.1,13.9,0.030068577
2001-06-17,0.070866142,30,18.3,0.051037454
2001-06-18,0.519685039,21.1,12.2,0.050246175
2001-06-19,0,26.1,10,0.034420608
2001-06-20,0,29.4,12.8,0.029277299
2001-06-21,0.039370079,31.1,11.7,0.030859856
2001-06-22,0,19.4,12.2,0.027694742
2001-06-23,0.019685039,25,12.8,0.030859856
2001-06-24,0.838582677,22.2,15.6,0.05776332
2001-06-25,0,25,11.1,0.036398804
2001-06-26,0,27.8,12.2,0.027694742
2001-06-27,0,31.1,13.9,0.022947072
2001-06-28,0,28.9,15.6,0.01938632
2001-06-29,0,27.2,14.4,0.017803763
2001-06-30,0,26.7,15.6,0.020968876
2001-07-01,0.598425197,30.6,17.8,0.048663619
2001-07-02,0.25984252,27.8,7.8,0.040355196
2001-07-03,0,20,5,0.026903464
2001-07-04,0,20.6,7.2,0.021760155
2001-07-05,0.098425197,24.4,12.8,0.021760155
2001-07-06,0.141732283,25.6,9.4,0.023738351
2001-07-07,0,19.4,7.2,0.020968876
